xid,name,url,stars,wikipedia,image,address,lon,lat,kinds_amount
W35816740,hotel arts barcelona,https://www.booking.com/hotel/es/arts-barcelona.html,5,https://en.wikipedia.org/wiki/Hotel%20Arts,https://commons.wikimedia.org/wiki/File:Hotel_Arts.jpg,Barcelona Avinguda del Litoral Hotel Arts CAT BCN la Vila Olímpica del Poblenou España 08005 es 19-21 Ciutat Vella ,2.1962220668792725,41.38689041137695,7
W206962976,barcelona princess,https://www.booking.com/hotel/es/barcelonaprincess.html,4,https://en.wikipedia.org/wiki/Hotel%20Barcelona%20Princess,https://commons.wikimedia.org/wiki/File:Barcelona_-_Hotel_Barcelona_Princess_11.jpg,Barcelona Avinguda Diagonal Hotel Barcelona Princess CAT BCN el Besòs i el Maresme España 08019 es 1 Sant Martí ,2.2185440063476562,41.41080856323242,5
W203140439,melia barcelona sky 4* sup,https://www.booking.com/hotel/es/melia-barcelona-sky.html,4,https://en.wikipedia.org/wiki/Hotel%20Melia%20Barcelona%20Sky,https://commons.wikimedia.org/wiki/File:PereIV-HabitatSky.jpg,Barcelona Carrer de Pere IV Meliá Barcelona Sky CAT BCN Provençals del Poblenou España 08005 es 272 Sant Martí Provençals del Poblenou ,2.2007453441619873,41.40613555908203,5
H3869271,barcelona playa,https://www.booking.com/hotel/es/barcelona-playa-barcelona.html,null,https://en.wikipedia.org/wiki/Hotel%20Barcelona%20Princess,https://commons.wikimedia.org/wiki/File:Barcelona_-_Hotel_Barcelona_Princess_11.jpg,Barcelona Rambla de Prim CAT BCN el Besòs i el Maresme España 08019 es 19 Sant Martí ,2.2182204723358154,41.4115104675293,5
N1272888981,hotel hesperia barcelona tower - a hyatt affiliate,https://www.booking.com/hotel/es/hesperiatower.html,5,https://en.wikipedia.org/wiki/Hyatt%20Regency%20Barcelona%20Tower,https://commons.wikimedia.org/wiki/File:Spain.Catalonia.Hospitalet.Hotel.Hesperia.Plantilla.JPG,l'Hospitalet Carrer de Jaume Ventura i Tort Hotel Hesperia Barcelona Tower CAT BCN Bellvitge España 08907 es 144 Districte VI ,2.1085946559906006,41.34602737426758,5
W177405737,hotel porta fira 4* sup,https://www.booking.com/hotel/es/porta-fira.html,4,https://en.wikipedia.org/wiki/Hotel%20Porta%20Fira,https://commons.wikimedia.org/wiki/File:Barcelona_2010_August_005_Hotel.JPG,l'Hospitalet Plaça d'Europa Porta Fira CAT BCN Granvia Sud España 08908 es Districte III ,2.1253764629364014,41.35494613647461,5
